Flow,Packets,Bytes,Application,Domain
192.168.31.44:50715 -> 149.154.167.92:80,1,0,,
192.168.31.44:50711 -> 20.207.73.82:443,14,2465,,
8.8.8.8:53 -> 192.168.31.44:10927,1,233,,
8.8.8.8:53 -> 192.168.31.44:35076,1,287,,
8.8.8.8:53 -> 192.168.31.44:25479,1,287,,
192.168.31.44:10927 -> 8.8.8.8:53,2,96,Unknown,vscode-sync.trafficmanager.net
185.199.111.133:443 -> 192.168.31.44:50693,10,3177,,
185.199.111.133:443 -> 192.168.31.44:50691,73,38742,,
185.199.111.133:443 -> 192.168.31.44:50689,11,3177,,
192.168.31.44:50690 -> 185.199.111.133:443,9,1394,,
192.168.31.44:50689 -> 185.199.111.133:443,9,1394,,
20.207.73.82:443 -> 192.168.31.44:50681,141,106579,,
192.168.31.44:50681 -> 20.207.73.82:443,71,15809,,
192.168.31.44:50663 -> 149.154.167.92:80,2,0,,
192.168.31.44:50661 -> 149.154.167.92:443,2,0,,
192.168.31.44:50650 -> 149.154.175.100:80,1,0,,
192.168.31.44:50647 -> 194.221.250.50:443,15,2130,,
194.221.250.50:443 -> 192.168.31.44:50630,9,2934,,
192.168.31.44:50630 -> 194.221.250.50:443,9,1621,,
192.168.31.44:50627 -> 149.154.175.100:80,4,0,,
192.168.31.44:50608 -> 194.221.250.50:443,15,2137,,
192.168.31.44:50606 -> 149.154.175.100:80,2,0,,
192.168.31.44:50657 -> 91.108.56.141:80,7,0,,
192.168.31.44:50604 -> 149.154.175.100:443,2,0,,
194.221.250.50:443 -> 192.168.31.44:50603,9,2841,,
192.168.31.44:50600 -> 91.108.56.141:80,7,0,,
192.168.31.44:50594 -> 91.108.56.141:443,7,0,,
194.221.250.50:443 -> 192.168.31.44:50577,7,2841,,
192.168.31.44:50552 -> 149.154.167.51:443,4,0,,
192.168.31.44:50534 -> 149.154.167.51:80,2,0,,
192.168.31.44:50577 -> 194.221.250.50:443,6,1570,,
192.168.31.44:50532 -> 149.154.167.51:443,2,0,,
192.168.31.44:50531 -> 194.221.250.50:443,15,2242,,
192.168.31.44:50528 -> 149.154.167.51:80,1,0,,
192.168.31.44:50523 -> 149.154.167.51:443,1,0,,
192.168.31.44:50522 -> 91.108.56.141:443,7,0,,
192.168.31.41:38471 -> 192.168.31.44:56347,4,1384,,
192.168.31.41:51781 -> 192.168.31.44:56347,4,1384,,
194.221.250.50:443 -> 192.168.31.44:50481,13,3885,,
192.168.31.44:50484 -> 149.154.175.55:80,4,0,,
192.168.31.44:50481 -> 194.221.250.50:443,15,2346,,
192.168.31.44:50596 -> 149.154.175.100:443,1,0,,
192.168.31.41:52196 -> 192.168.31.44:56347,4,1384,,
192.168.31.131:1900 -> 192.168.31.44:56347,4,940,,
194.221.250.50:443 -> 192.168.31.44:50608,14,3791,,
192.168.31.44:50554 -> 149.154.167.51:80,4,0,,
192.168.31.44:56347 -> 239.255.255.250:1900,4,700,,
192.168.31.44:50479 -> 149.154.175.55:80,2,0,,
192.168.31.44:50477 -> 149.154.175.55:443,2,0,,
34.49.39.67:443 -> 192.168.31.44:50460,8,1005,,
192.168.31.44:50460 -> 34.49.39.67:443,12,2618,Unknown,otel.cline.bot
192.168.31.44:50527 -> 91.108.56.141:80,7,0,,
192.168.31.44:50456 -> 149.154.175.55:80,1,0,,
192.168.31.44:50452 -> 149.154.175.55:443,1,0,,
192.168.31.44:50448 -> 91.108.56.141:80,1,0,,
8.8.8.8:53 -> 192.168.31.44:64565,1,124,,
192.168.31.44:50427 -> 91.108.56.141:80,4,0,,
192.168.31.41:44862 -> 192.168.31.44:56347,4,1384,,
192.168.31.44:49970 -> 91.108.56.141:80,7,0,,
192.168.31.44:50425 -> 91.108.56.141:443,4,0,,
192.168.31.44:50405 -> 91.108.56.141:443,2,0,,
192.168.31.44:50404 -> 194.221.250.50:443,15,2013,,
192.168.31.44:50278 -> 149.154.175.100:80,2,0,,
192.168.31.44:50401 -> 91.108.56.141:80,1,0,,
192.168.31.44:50400 -> 91.108.56.141:80,7,0,,
192.168.31.44:50397 -> 91.108.56.141:443,7,0,,
192.168.31.44:50378 -> 194.221.250.50:443,6,1474,,
192.168.31.44:50121 -> 149.154.175.55:443,4,0,,
192.168.31.44:50318 -> 149.154.175.100:443,1,0,,
192.168.31.44:50375 -> 149.154.167.92:80,1,0,,
8.8.8.8:53 -> 192.168.31.44:59373,1,46,,
192.168.31.44:38181 -> 8.8.4.4:53,2,56,Google,dns.google
192.168.31.44:50396 -> 91.108.56.141:443,1,0,,
185.199.111.133:443 -> 192.168.31.44:50692,11,3177,,
194.221.250.50:443 -> 192.168.31.44:50115,9,2996,,
192.168.31.44:50429 -> 194.221.250.50:443,15,2140,,
192.168.31.44:50353 -> 149.154.167.92:443,4,0,,
192.168.31.44:49963 -> 194.221.250.50:443,14,2302,,
194.221.250.50:443 -> 192.168.31.44:50352,14,3870,,
192.168.31.44:50334 -> 149.154.167.92:80,2,0,,
192.168.31.44:50455 -> 91.108.56.141:80,7,0,,
4.225.11.192:443 -> 192.168.31.44:49749,5,63,,
